iter	Passed	Remaining
1238	69931	494485
1239	69989	494443
1240	70046	494388
1241	70111	494392
1242	70175	494393
1243	70240	494395
1244	70301	494369
1245	70360	494332
1246	70424	494330
1247	70485	494303
1248	70545	494271
1249	70603	494221
1250	70657	494151
1251	70716	494113
1252	70790	494178
1253	70845	494109
1254	70902	494056
1255	70958	493999
1256	71014	493939
1257	71072	493893
1258	71127	493825
1259	71186	493783
1260	71247	493762
1261	71303	493697
1262	71360	493646
1263	71441	493760
1264	71503	493738
1265	71559	493679
1266	71617	493634
1267	71674	493583
1268	71735	493554
1269	71791	493492
1270	71848	493443
1271	71906	493395
1272	71965	493353
1273	72021	493294
1274	72080	493255
1275	72135	493190
1276	72191	493131
1277	72251	493095
1278	72312	493071
1279	72399	493220
1280	72458	493183
1281	72514	493120
1282	72570	493058
1283	72629	493019
1284	72684	492955
1285	72740	492895
1286	72796	492830
1287	72851	492762
1288	72910	492727
1289	72992	492839
1290	73046	492766
1291	73106	492730
1292	73162	492675
1293	73221	492632
1294	73278	492580
1295	73337	492540
1296	73396	492500
1297	73452	492436
1298	73508	492376
1299	73567	492334
1300	73621	492264
1301	73677	492203
1302	73729	492114
1303	73783	492039
1304	73834	491944
1305	73884	491848
1306	73934	491747
1307	73987	491663
1308	74040	491586
1309	74091	491495
1310	74144	491410
1311	74196	491322
1312	74248	491239
1313	74299	491146
1314	74352	491067
1315	74430	491148
1316	74482	491064
1317	74534	490975
1318	74586	490891
1319	74640	490816
1320	74695	490749
1321	74746	490661
1322	74798	490572
1323	74850	490486
1324	74903	490406
1325	74952	490299
1326	75004	490211
1327	75056	490128
1328	75110	490055
1329	75162	489969
1330	75216	489895
1331	75266	489800
1332	75321	489732
1333	75373	489648
1334	75425	489556
1335	75477	489476
1336	75531	489401
1337	75581	489305
1338	75634	489220
1339	75687	489141
1340	75741	489075
1341	75818	489145
1342	75869	489055
1343	75931	489034
1344	75985	488963
1345	76038	488882
1346	76090	488796
1347	76140	488702
1348	76195	488634
1349	76250	488569
1350	76304	488493
1351	76357	488416
1352	76413	488355
1353	76464	488267
1354	76516	488181
1355	76566	488084
1356	76621	488018
1357	76672	487927
1358	76724	487839
1359	76776	487759
1360	76828	487673
1361	76879	487579
1362	76930	487487
1363	76981	487396
1364	77035	487328
1365	77087	487244
1366	77142	487177
1367	77219	487252
1368	77270	487159
1369	77322	487074
1370	77372	486979
1371	77424	486897
1372	77479	486825
